campaign_id,stream_id,experiment_id,lot,reactor,replicate_group,matrix,temperature_program,nutrient_program,execution_status,data_status,raw_location,notes
laboratory_2025,ccd_two_factor,MS007,MS007,MS007,,synthetic_must,15C_isothermal,addition_factor_1,complete,workbook_homologated,fermentation_model/data/Laboratorio 2025/mosto_sintetico_vl3.xlsx,CCD source sheet MS007.
laboratory_2025,ccd_two_factor,MS008,MS008,MS008,,synthetic_must,15C_isothermal,addition_factor_4,complete,workbook_homologated,fermentation_model/data/Laboratorio 2025/mosto_sintetico_vl3.xlsx,CCD source sheet MS008.
laboratory_2025,ccd_two_factor,MS009,MS009,MS009,,synthetic_must,23C_isothermal,addition_factor_1,complete,workbook_homologated_with_quality_flag,fermentation_model/data/Laboratorio 2025/mosto_sintetico_vl3.xlsx,CCD source sheet MS009; workbook flags implausible Brix.
laboratory_2025,ccd_two_factor,MS010,MS010,MS010,,synthetic_must,19C_isothermal,addition_factor_1,complete,workbook_homologated,fermentation_model/data/Laboratorio 2025/mosto_sintetico_vl3.xlsx,CCD source sheet MS010.
laboratory_2025,ccd_two_factor,MS011,MS011,MS011,,synthetic_must,19C_isothermal,addition_factor_4,complete,workbook_homologated,fermentation_model/data/Laboratorio 2025/mosto_sintetico_vl3.xlsx,CCD source sheet MS011.
laboratory_2025,ccd_two_factor,MS012,MS012,MS012,,synthetic_must,23C_isothermal,addition_factor_4,complete,workbook_homologated,fermentation_model/data/Laboratorio 2025/mosto_sintetico_vl3.xlsx,CCD source sheet MS012.
laboratory_2025,ccd_two_factor,MS013,MS013,MS013,center_1,synthetic_must,19C_isothermal,addition_factor_3,complete,workbook_homologated,fermentation_model/data/Laboratorio 2025/mosto_sintetico_vl3.xlsx,CCD center-point source sheet MS013.
laboratory_2025,ccd_two_factor,MS014,MS014,MS014,center_2,synthetic_must,19C_isothermal,addition_factor_3,complete,workbook_homologated,fermentation_model/data/Laboratorio 2025/mosto_sintetico_vl3.xlsx,CCD center-point source sheet MS014.
laboratory_2025,ccd_two_factor,MS015,MS015,MS015,,synthetic_must,15C_isothermal,addition_factor_3,complete,workbook_homologated,fermentation_model/data/Laboratorio 2025/mosto_sintetico_vl3.xlsx,CCD axial-temperature source sheet MS015.
laboratory_2025,ccd_two_factor,MS016,MS016,MS016,,synthetic_must,23C_isothermal,addition_factor_3,complete,workbook_homologated,fermentation_model/data/Laboratorio 2025/mosto_sintetico_vl3.xlsx,CCD axial-temperature source sheet MS016.
