Código condensado / mix,Código muestra MEF,Fecha-hora,Vol CA (mL),Vol CB (mL),Vol MIX CA + CB (µL),Vol CA MIX(uL),Vol CB MIX(uL),Vol GC (µL),Dil. GC,EtOH objetivo (%),Vol MIX (uL),Alcohol HPLC 100%  (uL),Vol agua (µL),Observaciones,Unnamed: 15,mix_id,experiment_id,volume_a_ml,volume_b_ml,total_condensate_ml,fraction_a,fraction_b,original_sample_id,lab_sample_id,gc_prepared,gc_scope
26157-MIX-01,26157-05,2026-08-04 15:00:00,12.0,0.1,1000,991.7355371900827,8.26446280991729,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26157-MIX-01,26157,12.0,0.1,12.1,0.9917355371900827,0.008264462809917356,26157-MIX-01,Lab-26-2034,True,confirmed_lots_2_and_3_only
26158-MIX-01,26158-05,2026-08-04 15:00:00,5.1,1.5,1000,772.7272727272727,227.27272727272725,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26158-MIX-01,26158,5.1,1.5,6.6,0.7727272727272727,0.2272727272727273,26158-MIX-01,Lab-26-2045,True,confirmed_lots_2_and_3_only
26159-MIX-01,26159-05,2026-08-04 15:00:00,3.0,0.1,1000,967.7419354838709,32.25806451612914,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26159-MIX-01,26159,3.0,0.1,3.1,0.9677419354838709,0.03225806451612903,26159-MIX-01,Lab-26-2056,True,confirmed_lots_2_and_3_only
26157-MIX-02,26157-08,2026-10-04 08:00:00,20.0,15.0,1000,571.4285714285714,428.57142857142856,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26157-MIX-02,26157,20.0,15.0,35.0,0.5714285714285714,0.42857142857142855,26157-MIX-02,Lab-26-2036,True,confirmed_lots_2_and_3_only
26158-MIX-02,26158-08,2026-10-04 08:00:00,20.0,13.0,1000,606.0606060606061,393.9393939393939,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26158-MIX-02,26158,20.0,13.0,33.0,0.6060606060606061,0.3939393939393939,26158-MIX-02,Lab-26-2047,True,confirmed_lots_2_and_3_only
26157-MIX-03,26157-10,2026-11-04 08:00:00,20.0,20.0,1000,500.0,500.0,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26157-MIX-03,26157,20.0,20.0,40.0,0.5,0.5,26157-MIX-03,Lab-26-2038,True,confirmed_lots_2_and_3_only
26158-MIX-03,26158-10,2026-11-04 08:00:00,22.0,14.0,1000,611.1111111111112,388.8888888888888,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26158-MIX-03,26158,22.0,14.0,36.0,0.6111111111111112,0.3888888888888889,26158-MIX-03,Lab-26-2049,True,confirmed_lots_2_and_3_only
26159-MIX-02,26159-09,2026-11-04 08:00:00,22.0,0.0,1000,1000.0,0.0,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26159-MIX-02,26159,22.0,0.0,22.0,1.0,0.0,26159-MIX-02,Lab-26-2058,True,confirmed_lots_2_and_3_only
26159-MIX-03,26159-11,2026-12-04 08:00:00,12.0,0.1,1000,991.7355371900827,8.26446280991729,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26159-MIX-03,26159,12.0,0.1,12.1,0.9917355371900827,0.008264462809917356,26159-MIX-03,Lab-26-2060,True,confirmed_lots_2_and_3_only
26157-MIX-04,26157-12,2026-12-04 15:00:00,16.0,22.0,1000,421.05263157894734,578.9473684210527,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26157-MIX-04,26157,16.0,22.0,38.0,0.42105263157894735,0.5789473684210527,26157-MIX-04,Lab-26-2040,True,confirmed_lots_2_and_3_only
26158-MIX-04,26158-12,2026-12-04 15:00:00,16.0,19.0,1000,457.1428571428571,542.8571428571429,50000,1000,12.5,50,6250,43700,Pre-cargado diario; completar solo si se preparará mix analítico.,,26158-MIX-04,26158,16.0,19.0,35.0,0.45714285714285713,0.5428571428571428,26158-MIX-04,Lab-26-2051,True,confirmed_lots_2_and_3_only
